Date,City,Max_temperature,Min_temperature,Avg_temperature,Total_precipitation,Avg_precipitation
30-10-2025,Mumbai,29.0°C,27.0°C,27.77°C,10.2mm,0.43mm
29-10-2025,Mumbai,30.1°C,27.8°C,28.63°C,5.8mm,0.24mm
